Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
searching for sheela,documentary,documentary,documentary,movie title is searching for sheela. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BN2M4NTAyM2QtYmE4OS00NTEyLWE0NGQtNTU2Y2YyNDBiZDBlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.1,58,0.2634146341463414,English,"April 22, 2021",Shakun Batra,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune's spokesperson returns to India after decades for an interview tour.
the call,drama,drama,drama,movie title is the call. genre is drama. language is korean.,https://m.media-amazon.com/images/M/MV5BMjExNDkzNjAwOV5BMl5BanBnXkFtZTcwMDMzMzQwOQ@@._V1_SX300.jpg,2020.0,4.1,112,0.526829268292683,Korean,"November 27, 2020",Brad Anderson,"When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life."
whipped,romantic comedy,"comedy, romance",comedy,"movie title is whipped. genre is comedy, romance. language is indonesian.",https://m.media-amazon.com/images/M/MV5BZjkwNTgyYzgtMTMyMC00YmE1LWJlM2MtNjIxNzdiZWQxMjYwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.1,97,0.4536585365853658,Indonesian,"September 18, 2020",Peter M. Cohen,"Three egotistical swingers, who think they're God's gift to women, end up having their friendships tested when all three of them pick up and start dating the same woman."
all because of you,action comedy,"comedy, action",comedy,"movie title is all because of you. genre is comedy, action. language is malay.",https://m.media-amazon.com/images/M/MV5BMGU3NmE1NDYtNjkxZC00MDI3LTgxMWYtMGY1MDUyZDE3MzNkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.2,101,0.47317073170731705,Malay,"October 1, 2020",Adrian Teh,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place."
mercy,thriller,thriller,thriller,movie title is mercy. genre is thriller. language is english.,"https://m.media-amazon.com/images/M/MV5BMWJmYjcwMTMtMDU1ZC00ZGI5LTlmZDAtODI3NDA2ZTE5ZGVlXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",2016.0,4.2,90,0.4195121951219512,English,"November 22, 2016",Timur Bekmambetov,"Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge."
after the raid,documentary,documentary,documentary,movie title is after the raid. genre is documentary. language is spanish.,https://m.media-amazon.com/images/M/MV5BNWY2NmM4ZTItNTMwNy00ZWM3LTgzZDMtYjI4YmU1NWRiOWIxXkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.3,25,0.1024390243902439,Spanish,"December 19, 2019",Rodrigo Reyes,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity."
ghost stories,horror anthology,horror,horror,movie title is ghost stories. genre is horror. language is hindi.,https://m.media-amazon.com/images/M/MV5BY2VmMzFmZjgtOTUzZC00NDUxLTkwOGYtZjA1OTZlYjE5ZDdjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.3,144,0.6829268292682926,Hindi,"January 1, 2020","Jeremy Dyson, Andy Nyman","After receiving a file with details of three unexplained cases of apparitions, skeptical professor Phillip Goodman embarks on a terrifying trip."
the last thing he wanted,political thriller,thriller,thriller,movie title is the last thing he wanted. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BN2RmN2ZkYjQtNDJjYi00NGM4LTk1MzAtNWE1NmVjMzllMGRiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.3,115,0.5414634146341464,English,"February 21, 2020",Dee Rees,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake...
death note,horror thriller,"horror, thriller",horror,"movie title is death note. genre is horror, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BYTgyZDhmMTEtZDFhNi00MTc4LTg3NjUtYWJlNGE5Mzk2NzMxXkEyXkFqcGc@._V1_SX300.jpg,2017.0,4.4,100,0.46829268292682924,English,"August 25, 2017",,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
"hello privilege. it's me, chelsea",documentary,documentary,documentary,"movie title is hello privilege. it's me, chelsea. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BMDIyYzljMzMtYTdmNy00MGJkLTk5MTUtMDhiYTE5ZjJkZDA4XkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.4,64,0.2926829268292683,English,"September 13, 2019",Alex Stapleton,Chelsea Handler explores explores how white privilege impacts American culture and the ways it's benefited her life and career.
secret obsession,thriller,thriller,thriller,movie title is secret obsession. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BM2I0N2RiZjUtMTkxNy00NzRhLWI3NGItYjg2NTI2NWUzNmNlXkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.4,97,0.4536585365853658,English,"July 18, 2019",Peter Sullivan,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember."
sextuplets,comedy,comedy,comedy,movie title is sextuplets. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMjA2NWYxMmYtMTMxYS00NDJhLWI2MDgtN2ZmMmJiOWUxOGRjXkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.4,99,0.46341463414634143,English,"August 16, 2019",Michael Tiddes,Father-to-be Alan is shocked to learn that he was born a sextuplet. He and his newfound brother Russell set out on a hilarious journey to reunite with their other long-lost siblings.
the girl on the train,thriller,thriller,thriller,movie title is the girl on the train. genre is thriller. language is hindi.,https://m.media-amazon.com/images/M/MV5BZTg4MGViYTMtYTFkMC00YzVlLWExZDItOTM4NTUwMjc2NTE2XkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.4,120,0.5658536585365853,Hindi,"February 26, 2021",Tate Taylor,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
thunder force,"superhero, comedy","comedy, action",comedy,"movie title is thunder force. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BODU5ZThhYmUtODgzZi00MDVjLThjZmItMzM3YjkwMjE4MzcxXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.4,105,0.4926829268292683,English,"April 9, 2021",Ben Falcone,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city."
fatal affair,thriller,thriller,thriller,movie title is fatal affair. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BY2M3OGY2YjgtNTBlNi00NDA4LWEzZDMtMjIzNDRhYjJmOGVmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.5,89,0.4146341463414634,English,"July 16, 2020",Peter Sullivan,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized."
just say yes,romantic comedy,"comedy, romance",comedy,"movie title is just say yes. genre is comedy, romance. language is dutch.",https://m.media-amazon.com/images/M/MV5BNDA4ZTAxM2MtMjczYy00YjhlLThhNzgtNTQwYTYwNWExZmU0XkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.5,97,0.4536585365853658,Dutch,"April 2, 2021","Appie Boudellah, Aram van de Rest",Incurable romantic Lotte's life is upended when her plans for a picture-perfect wedding unravel--just as her self-absorbed sister gets engaged.
seriously single,comedy,comedy,comedy,movie title is seriously single. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BYjFmNDM4YTYtNDU0Yi00ZmNhLWFlNGMtYzY0MTgzZjM2ZjQzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.5,107,0.5024390243902439,English,"July 31, 2020","Katleho Ramaphakela, Rethabile Ramaphakela","Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga Sibiya, he seems to be the man she's wait..."
the misadventures of hedi and cokeman,comedy,comedy,comedy,movie title is the misadventures of hedi and cokeman. genre is comedy. language is french.,https://m.media-amazon.com/images/M/MV5BYjg4YjczOGYtODRmYS00ODBmLWFjMTMtMmVmOGFmZDFiNzgwXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.5,99,0.46341463414634143,French,"February 10, 2021",Julien Hollande,"In Paris, two dysfunctional drug dealers use family ties to try and boost their business."
after maria,documentary,documentary,documentary,movie title is after maria. genre is documentary. language is english/spanish.,https://m.media-amazon.com/images/M/MV5BYjZjYjFmNTYtNjgyNy00MTQ0LTg0MTYtYjQ1NTI2OTFiNTcyXkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.6,37,0.16097560975609757,English,"May 24, 2019",Nadia Hallgren,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.
i am the pretty thing that lives in the house,horror,horror,horror,movie title is i am the pretty thing that lives in the house. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BYTU3YjY5YjAtY2ZkMS00YzI3LWFmNjQtYWI5N2RhMWU5Y2ViXkEyXkFqcGc@._V1_SX300.jpg,2016.0,4.6,89,0.4146341463414634,English,"October 28, 2016",Osgood Perkins,A nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.
paris is us,romance drama,"drama, romance",drama,"movie title is paris is us. genre is drama, romance. language is french.",https://m.media-amazon.com/images/M/MV5BODUwOTM2OTUtNDFkZi00OTkwLTk4ZTYtNTA1MTRhZDcyZGM4XkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.6,83,0.3853658536585366,French,"February 22, 2019",Elisabeth Vogler,Anna misses the flight she should have taken to find Greg in Barcelona. The plane crashes.
rattlesnake,horror,horror,horror,movie title is rattlesnake. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BYWI3NWJhY2YtMmQzNC00YmJhLTkyYWUtOTU5YWViM2ZjNTJjXkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.6,85,0.39512195121951216,English,"October 25, 2019",Zak Hilditch,"When a single mother accepts the help of a mysterious woman after her daughter is bitten by a rattlesnake, she finds herself making an unthinkable deal with the devil to repay the stranger."
the players,comedy,comedy,comedy,movie title is the players. genre is comedy. language is italian.,https://m.media-amazon.com/images/M/MV5BZGJiYTA0NDMtZjdlYS00ZjBkLWI2ZjctOTIxODRiMDE2MmRmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.6,88,0.4097560975609756,Italian,"July 15, 2020","Emmanuelle Bercot, Fred Cavayé, Alexandre Courtès",A series of short films set around the theme of infidelity.
we are one,documentary,documentary,documentary,movie title is we are one. genre is documentary. language is french.,https://m.media-amazon.com/images/M/MV5BNjBhM2ZmMGUtYjMwMS00ZDcxLThkNWQtZjc1ZDY0ODM1NWZiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.6,86,0.39999999999999997,French,"July 14, 2020",Stéphane de Freitas,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.
finding agnes,drama,drama,drama,movie title is finding agnes. genre is drama. language is filipino.,https://m.media-amazon.com/images/M/MV5BMjY5NmVjNDktNTY1ZC00YjQxLWE1NGYtMDM1OTI1MWNhYjRjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.7,105,0.4926829268292683,Filipino,"November 30, 2020",Marla Ancheta,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter."
io,"science fiction, drama","scifi, drama",scifi,"movie title is io. genre is scifi, drama. language is english.",https://m.media-amazon.com/images/M/MV5BN2RiYTkyMjMtYTljOS00ZDJiLWJhMWItMGYzNzJkYmE1NTMzXkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.7,95,0.44390243902439025,English,"January 18, 2019",Jonathan Helpert,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet."
sentinelle,action,action,action,movie title is sentinelle. genre is action. language is french.,https://m.media-amazon.com/images/M/MV5BNzI5MzE4MjAtYWE4YS00NjFlLTk0MDMtNjJhYmY5ZjJlNGUzXkEyXkFqcGc@._V1_SX300.jpg,2021.0,4.7,80,0.37073170731707317,French,"March 5, 2021",Julien Leclercq,"Transferred home after a traumatizing combat mission, a lesbian soldier uses her lethal skills to hunt down the man who hurt her sister."
sol levante,"anime, short",animation,animation,movie title is sol levante. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BY2ExYjA0MjEtYjgyYS00YTA0LWI2NWQtNDE2MjFlZmRkOWY2XkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.7,4,0.0,English,"April 2, 2020",Akira Saitou,A young warrior leaves in search of the sacred place which is said to grant wishes. Better not to stir the wrath of the ancient guardian spirits.
the binding,drama,drama,drama,movie title is the binding. genre is drama. language is italian.,https://m.media-amazon.com/images/M/MV5BYjk3ZDdkZmMtMjQ0Yi00Nzc5LTk5NDUtMDIxMzcxNjA4MzhkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.7,93,0.43414634146341463,Italian,"October 2, 2020",Domenico de Feudis,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter."
we can be heroes,superhero,action,action,movie title is we can be heroes. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BODdkYTdhMGItNTg3Zi00NzczLWI2YjgtZThlNTFjZjBlYzFiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.7,100,0.46829268292682924,English,"December 25, 2020",Robert Rodriguez,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents and the planet."
christmas crossfire,thriller,thriller,thriller,movie title is christmas crossfire. genre is thriller. language is german.,https://m.media-amazon.com/images/M/MV5BMzA4NzkzNTktY2Y5NS00OTg1LTk2NWEtM2U1MzU3NDIwNDJkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.8,106,0.4975609756097561,German,"December 4, 2020",Detlev Buck,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him."
coin heist,heist,action,action,movie title is coin heist. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BMWU0NmM5ZmMtMzJkMy00ZGFiLThlMGMtYzE2MmE1YTdjNGFiXkEyXkFqcGc@._V1_SX300.jpg,2017.0,4.8,97,0.4536585365853658,English,"January 6, 2017",Emily Hagins,"United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint."
nobody sleeps in the woods tonight,horror,horror,horror,movie title is nobody sleeps in the woods tonight. genre is horror. language is polish.,https://m.media-amazon.com/images/M/MV5BNmM4NzlkMGMtMWFhYi00MzVjLWE3NjEtZDBjNWViYmM4YmY4XkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.8,103,0.48292682926829267,Polish,"October 28, 2020",Bartosz M. Kowalski,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.
take the 10,comedy,comedy,comedy,movie title is take the 10. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMWM4ZDc5N2UtMTgyYS00ZThkLTljNTgtNDA3MzE4OTdhYmM3XkEyXkFqcGc@._V1_SX300.jpg,2017.0,4.8,80,0.37073170731707317,English,"January 20, 2017",Chester Tam,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire."
the main event,comedy,comedy,comedy,movie title is the main event. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZjg1MzE4MWUtZDc4NC00NDg1LWFhNDktNDNjOTk5MGQ3MTA4XkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.8,101,0.47317073170731705,English,"April 10, 2020",Howard Zieff,A bankrupt entrepreneur attempts to recoup some of her losses by getting a washed-out boxer she picked up as a tax loss back into the ring - an idea her protégé isn't fond of.
the ridiculous 6,western,western,western,movie title is the ridiculous 6. genre is western. language is english.,https://m.media-amazon.com/images/M/MV5BNzM2NWQzMzAtYzdiNi00YTk0LWEyNjQtOTJkMTk4YTdlYmY2XkEyXkFqcGc@._V1_SX300.jpg,2015.0,4.8,119,0.5609756097560975,English,"December 11, 2015",Frank Coraci,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad."
earth and blood,action,action,action,movie title is earth and blood. genre is action. language is french.,https://m.media-amazon.com/images/M/MV5BOThhZjNiZDUtOTAwMC00NjVmLThjNTgtNTZkMThjYWU1Y2EyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.9,80,0.37073170731707317,French,"April 17, 2020",Julien Leclercq,"Saïd owns a sawmill deep in the woods, which he decides to sell. Little does he know that one of his apprentices was cornered by his brother and forced to hide a large amount of cocaine inside the factory."
fearless,"animation, superhero","action, animation",action,"movie title is fearless. genre is action, animation. language is english.",https://m.media-amazon.com/images/M/MV5BNjI1N2ZmOWMtODE2ZS00MzU5LWJhMzYtNWNmNDQ2NGIzNDM0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.9,89,0.4146341463414634,English,"August 14, 2020",Ronny Yu,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation."
holiday rush,family film,family,family,movie title is holiday rush. genre is family. language is english.,https://m.media-amazon.com/images/M/MV5BMWQ5MzAxNDktYTU5My00ZGU2LThhMjEtZmEzM2UxNjIxODk3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,4.9,94,0.43902439024390244,English,"November 28, 2019",Leslie Small,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves."
the day of the lord,drama,drama,drama,movie title is the day of the lord. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BYzZlYmU2ODQtM2FkNC00ZTY5LTk3YjktMTg0NjY5OTk5ZjA1XkEyXkFqcGc@._V1_SX300.jpg,2020.0,4.9,93,0.43414634146341463,Spanish,"October 30, 2020",Santiago Alvarado Ilarri,A retired priest hunted by his sins is pulled back into darkness when a friend begs him to help his possessed daughter.
airplane mode,comedy,comedy,comedy,movie title is airplane mode. genre is comedy. language is portuguese.,https://m.media-amazon.com/images/M/MV5BYmFmMGY1OTYtOWE2OS00ZDlhLThjN2UtMmNiZWNjOGEyM2IwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.0,96,0.448780487804878,Portuguese,"January 23, 2020","David Dinetz, Dylan Trussell","En route to Australia, Logan is terrified; it's his first time flying. All of his worst nightmares come true when the ""influencers"" aboard refuse to switch their phones to airplane mode. The internet is about to crash."
how it ends,"action, thriller","thriller, action",thriller,"movie title is how it ends. genre is thriller, action. language is english.",https://m.media-amazon.com/images/M/MV5BMjMwOTg0MzU4MV5BMl5BanBnXkFtZTgwODk2NjY3NTM@._V1_SX300.jpg,2018.0,5.0,113,0.5317073170731708,English,"July 13, 2018",David M. Rosenthal,"In the midst of an apocalypse, a man struggles to reach his pregnant fiancée who is thousands of miles away."
love like the falling rain,drama,drama,drama,movie title is love like the falling rain. genre is drama. language is indonesian.,https://m.media-amazon.com/images/M/MV5BOTk0MzRmNzMtYTRiYy00YTRlLTgwZDItZDE2YjE0MmZmN2E3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.0,86,0.39999999999999997,Indonesian,"October 15, 2020",Lasja Fauzia,"Kevin and Nara have been friends since childhood and they promise to always be best friends. But when Nara falls in love with a mysterious boy, Kevin feels that there is no hope for him to be with her forever."
rebirth,thriller,thriller,thriller,movie title is rebirth. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BYmRlZmJiYzYtYzE0My00MWMxLWE2MDgtYTQ3ODQ3Y2ExOWJjXkEyXkFqcGc@._V1_SX300.jpg,2016.0,5.0,100,0.46829268292682924,English,"July 15, 2016",Karl Mueller,He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.
squared love,romantic comedy,"comedy, romance",comedy,"movie title is squared love. genre is comedy, romance. language is polish.",https://m.media-amazon.com/images/M/MV5BMDdkMzNmMWYtZGNhYS00ZmI5LWI4ZTktNjFlNTMyNjQ1ZDJkXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.0,102,0.47804878048780486,Polish,"February 11, 2021",Filip Zylber,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.
cadaver,horror,horror,horror,movie title is cadaver. genre is horror. language is norwegian.,https://m.media-amazon.com/images/M/MV5BZGNkYWJhZDAtZTk3Ni00MGRkLTgzMzYtNDc1NWYyZjQzMTZmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.1,86,0.39999999999999997,Norwegian,"October 22, 2020",Jarand Herdal,"In the starving aftermath of a nuclear disaster, a family of three attends a charitable event at a hotel, which takes a dark turn when people start to disappear."
clinical,thriller,thriller,thriller,movie title is clinical. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMjMzNTkwNzMyMF5BMl5BanBnXkFtZTgwNTg2MzIxMTI@._V1_SX300.jpg,2017.0,5.1,104,0.4878048780487805,English,"January 13, 2017",Alistair Legrand,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history."
coffee & kareem,action comedy,"comedy, action",comedy,"movie title is coffee & kareem. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BMTQ0ZDZjY2EtZjlkZi00YmNhLTljOGItYzhlYTliMmIzZDliXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.1,88,0.4097560975609756,English,"April 3, 2020",Michael Dowse,"Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug k..."
dude,"teen comedy, drama","comedy, drama",comedy,"movie title is dude. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BMTk1NjA2ODk2NV5BMl5BanBnXkFtZTgwNjkyMTA0NTM@._V1_SX300.jpg,2018.0,5.1,97,0.4536585365853658,English,"April 20, 2018",Olivia Milch,A group of teenage girlfriends deal with their impending graduation from high school.
geez & ann,romantic drama,"drama, romance",drama,"movie title is geez & ann. genre is drama, romance. language is indonesian.",https://m.media-amazon.com/images/M/MV5BMzFiMzRkY2YtYTMyOC00MjY3LWE0NjYtOTFlNjE5ZDliMTc1XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.1,105,0.4926829268292683,Indonesian,"February 25, 2021",Rizki Balki,They first met at an alumni event. The first meeting was very memorable for the dreamer Ann and the mysterious Geez.
